142.52,28,6.27
206.85,103.6,2.29
246.58,84,4.14
272.37,308,2.71
141.02,350,5.9
48.88,271.6,4.01
102.81,229.6,6.22
307.16,170.8,4.63
315.94,308,5.24
307.47,86.8,1.66
78.24,302.4,5.27
96.67,173.6,5.72
11.15,350,4.91
383.81,215.6,2.14
241.41,64.4,3.24
340.88,280,2.84
114.53,238,3.13
341.68,162.4,6.35
103.01,308,4.66
181.1,322,3.03
128.48,128.8,3.03
0,308,3.18
97.18,271.6,4.19
228.97,137.2,4.65
132.42,333.2,2.56
284.25,238,3.79
249.96,123.2,5.11
271.96,86.8,3.04
0,176.4,3.6
357.56,39.2,6.86
58.11,128.8,4.15
335.88,215.6,5.75
132.83,344.4,4.74
374.77,341.6,5.3
66.14,308,4.68
85.81,98,5.1
96.99,215.6,5.08
331.12,260.4,3
120.65,308,6.32
237.46,120.4,6.05
53.08,131.6,3.21
300.24,280,3.83
146.51,210,2.25
364.48,14,4.44
251.67,215.6,6.92
189,260.4,4.78
43.64,64.4,2.98
272.52,151.2,4.54
0,151.2,1.29
393,249.2,3.08
31.47,39.2,6.84
343.07,120.4,5.68
98.23,330.4,2.83
210.41,296.8,2.35
215.7,176.4,4.2
294.44,25.2,5.71
51.51,39.2,6.33
365.12,238,6.72
333.42,305.2,2.67
330.78,170.8,1.71
159.09,215.6,2.14
282.89,305.2,5.18
139.59,240.8,4.07
383.78,238,3.94
348.53,75.6,3.25
331.88,142.8,1.86
331.05,126,3.34
263.34,260.4,2.05
58.69,330.4,1.58
282.3,187.6,1.23
256.99,84,3.58
268.31,338.8,3.65
312.58,64.4,1.49
297.62,333.2,2.73
160.86,86.8,6.11
314.02,280,4.23
306.57,333.2,5.26
356.16,165.2,4.28
317.4,67.2,6.88
382.83,78.4,2.71
166.35,235.2,4.9
101.06,330.4,5.52
299.68,134.4,6.62
255.47,184.8,1.32
61.94,72.8,6.24
0,330.4,2.6
79.77,330.4,5
19.76,305.2,5.8
29.15,8.4,1.65
203.05,252,1.43
350.85,36.4,2.13
299.11,196,6.29
260.46,154,6.38
316.65,8.4,1.34
20.11,330.4,4.85
323.66,187.6,4.27
196.67,137.2,6.59
303.56,47.6,3.9
1.67,128.8,2.52
83.64,64.4,3.3
164.87,333.2,2.82
171.09,128.8,4.63
266.36,30.8,6.59
356.71,72.8,4.2
289.87,128.8,4.37
327.71,224,5.98
111.81,86.8,4.15
365.37,215.6,1.42
5.89,148.4,2.98
199.34,352.8,6.93
102.77,44.8,2.02
37.67,352.8,6.19
322.64,210,2.53
22.51,352.8,6.91
311.61,58.8,2.91
293.1,196,2.14
303.66,58.8,5.2
168.25,302.4,4.62
334.02,212.8,2.27
328.03,81.2,3.6
332.39,210,4.01
214.31,47.6,2.77
161.95,238,4.42
318.08,215.6,4.98
154.59,319.2,4.05
323.41,148.4,4.21
321.78,196,2.38
15.49,294,1.7
159.8,78.4,3.23
5.63,215.6,5.39
168.33,305.2,2.82
318.85,302.4,3.61
204.43,324.8,2.38
312.11,70,5.41
189.17,44.8,2.03
336.86,109.2,1.55
362.89,246.4,4.15
255.77,16.8,5.29
353.13,352.8,3.05
274.14,30.8,3.9
78.92,254.8,2.11
50.94,140,4.22
6.06,316.4,4.99
298.81,316.4,2.03
180.51,176.4,5.59
178.7,86.8,5.81
140.33,352.8,1.07
206.59,151.2,1.08
338.12,226.8,6.97
288.12,162.4,3.37
16.13,215.6,5.57
95.15,151.2,2.82
62.67,260.4,3.05
90.27,109.2,5.37
204.22,196,6
261.06,16.8,4.65
366.79,215.6,6.01
93.48,154,6.3
160.74,25.2,1.77
61.42,282.8,4.77
349.98,72.8,3.52
271.31,0,3.77
231.46,75.6,3.42
43.12,126,3.14
0,109.2,4.17
186.25,44.8,2.92
341.89,198.8,4.12
303.68,120.4,5.4
56.84,215.6,3.27
153.87,176.4,2.7
136.26,235.2,1.08
166.72,72.8,2.32
346.01,210,5.74
357.73,25.2,4.5
247.23,126,5.14
15.72,162.4,1.12
110.04,58.8,6.3
21.88,109.2,1.27
277.13,56,5.12
229.6,347.2,1.98
245.21,126,2.02
149.81,170.8,6.67
159.97,294,1.48
71.81,170.8,2.77
371.43,179.2,6.4
327.77,33.6,1.66
276.86,215.6,4.94
0,134.4,5.94
42.19,42,3.96
19.01,308,1.13
165.1,16.8,6.33
377.12,327.6,1.06
337,84,1.44
160.73,168,4.85
65.58,355.6,4.08
21.9,336,5.34
389.15,316.4,6.09
362.5,243.6,2
341.07,221.2,3.44
44.9,84,5.69
139.24,308,1.9
151.97,240.8,2.42
210.07,112,4.03
342.07,109.2,2.9
94.44,72.8,3.53
214.1,112,6.25
104.63,64.4,5.4
378.94,120.4,1.46
184.98,327.6,3.22
345.45,347.2,1.45
229.24,215.6,5.43
296.07,207.2,3.22
147.62,308,5.48
175.04,338.8,1.31
123.81,327.6,2.23
291.02,100.8,2.41
136.48,84,1.04
276.41,210,1.41
43.6,11.2,2.56
188.39,151.2,3.69
161.85,249.2,1.8
304.18,19.6,2.29
109.03,282.8,2.11
277.82,210,2.13
38.36,42,3.83
349.88,319.2,5.18
76.33,254.8,2.59
385.3,308,4.27
207.49,243.6,3.22
186.3,112,6.77
167.9,30.8,1.39
370.79,100.8,4.31
181.99,56,5.03
315.85,19.6,4.05
171.53,67.2,6.47
362.12,260.4,1.63
141.64,44.8,6.8
370.85,341.6,2.74
67.87,336,4.46
204.2,330.4,6.77
100.04,84,4.17
290.39,81.2,3.8
134.29,319.2,3.9
0,98,6.8
144.96,268.8,4.03
0,268.8,4.62
25.85,162.4,5.82
256.92,128.8,5.92
8.29,33.6,6.15
390.9,19.6,4.77
129.24,14,6.39
309.18,42,6.97
220.44,8.4,6.36
86.94,64.4,3.84
82.09,75.6,3.94
198.56,198.8,5.92
229.65,22.4,1.15
359.1,238,6.02
23.2,210,5.67
98.35,61.6,3.53
156.06,120.4,4.46
311.02,168,4.04
232.4,240.8,4.04
231.99,56,6.48
133.41,226.8,1.13
81.79,151.2,3.4
32.81,184.8,4.58
373.22,207.2,2.02
317.07,75.6,1.01
102.81,299.6,6.32
78.44,22.4,4.61
376.77,11.2,4.72
70.52,36.4,6.75
23.98,86.8,6.7
202.64,201.6,4.72
156.1,98,4.99
217.01,142.8,6.36
279.83,319.2,3.57
24.39,148.4,5.72
5.18,319.2,5.77
22.95,92.4,1.49
278.22,67.2,6.78
281.15,226.8,4.86
28.35,282.8,6.56
31.28,61.6,1.78
343.81,61.6,2.3
344.67,148.4,6.87
379.67,131.6,2.72
146.52,296.8,5.63
113.74,123.2,4.69
175.13,327.6,5.49
29.13,98,6.61
246.85,308,2.74
255.5,109.2,2.09
79.1,282.8,5.5
6.97,182,1.55
11.72,341.6,2.2
276.87,341.6,6.75
286.92,84,4.53
258.67,196,4.38
227.92,173.6,1.87
0,142.8,2.07
108.63,352.8,2.96
0,299.6,6.58
296.31,238,4.33
377.34,145.6,4.64
393.4,282.8,6.52
0,350,4.47
